1ÿ






656,1044,956,824,572,532,2087

576,1012,964,752,492,492,2078

492,928,928,664,452,452,2055

372,712,1028,712,372,372,2086

284,496,1160,932,368,328,2310

124,1172,1216,208,168,168,1809

88,1272,824,172,128,128,1492

88,432,1676,432,128,128,1875

88,256,1096,732,128,128,2216

88,1404,1004,172,128,128,1558

128,1536,688,128,128,172,1428

88,520,1500,432,128,128,1817

88,384,956,600,128,128,2133

88,1488,1048,172,128,128,1569

128,1796,816,172,128,172,1358

84,556,1664,644,128,128,1893

56,432,1320,692,136,136,2075

88,1804,956,128,128,128,1500

180,1860,224,96,96,136,1072

88,1004,1004,128,128,128,1528

88,996,996,128,88,128,1647

128,1772,216,84,84,128,1135

524,1592,84,84,128,128,719

128,1584,388,128,128,172,1310

8,2000,484,88,88,132,1365

140,1428,16,56,100,140,1000

752,1112,8,56,56,100,546

48,1256,48,48,48,48,1000

8,1292,180,48,48,48,1159

744,1148,8,48,92,92,733

1840,776,84,128,128,128,354

432,1716,164,164,164,208,1205

420,1576,204,164,204,248,1443

2000,344,88,128,172,212,786

2000,256,128,168,168,212,757

1804,648,128,168,168,212,812

468,1536,296,252,252,296,1522

544,1792,412,284,244,284,1568

2000,1524,216,176,176,216,908

2000,2000,220,136,136,176,711

636,2000,1684,464,176,176,1377

168,1944,1680,1028,212,168,1982

132,1608,1476,556,132,176,1730

168,764,1732,1288,292,208,2178

172,548,1600,1424,380,256,2418

208,764,1428,764,248,248,2081

172,424,1604,1472,300,216,2349

84,252,1428,1828,252,168,2450

48,348,1668,992,136,136,2191

48,172,1348,1392,212,172,2453

48,128,1088,1668,220,128,2580

44,172,1132,1088,128,128,2348

48,88,868,1496,220,128,2546

48,88,824,1980,256,132,2646

48,88,740,1500,260,132,2643

88,88,384,1716,428,132,2880

88,88,256,1984,476,128,3041

48,88,688,1712,216,128,2686

88,88,472,1720,300,172,2756

52,92,180,1580,1004,136,3351

48,88,300,1852,652,132,3187

48,88,136,1576,1400,136,3385

48,88,172,1576,1092,172,3405

48,88,692,2000,348,128,2810

48,88,600,2000,428,132,2810

48,88,132,1444,1576,172,3451

48,88,128,1264,1704,172,3559

48,88,432,1804,648,128,3088

48,88,256,1840,860,128,3118

48,88,88,956,1404,132,3500

48,88,88,1440,1440,132,3539

84,84,560,1844,464,128,2939

48,96,476,2000,604,136,2892

84,84,84,1264,1484,128,3463

88,88,88,1272,1448,132,3584

88,48,552,2000,596,88,3022

