Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

0,135,1000,175,0,0,2030,4566

0,0,1000,533,0,0,2347,4669

39,1000,495,0,0,0,1331,4772

39,1000,392,0,0,0,1281,4875

0,206,1000,83,0,0,1904,4978

79,1000,93,0,0,0,1011,5081

39,1000,93,0,0,0,1085,5184

0,929,495,0,0,0,1347,5287

39,1000,196,0,0,0,1163,5391

0,1000,299,0,0,0,1230,5494

0,348,906,83,0,0,1801,5597

79,1000,93,0,0,0,1011,5700

39,1000,93,0,0,0,1085,5803

39,1000,392,0,0,0,1281,5906

0,845,495,0,0,0,1369,6009

0,419,906,83,0,0,1761,6112

115,1000,93,0,0,0,981,6215

115,929,93,0,0,0,980,6318

39,1000,93,0,0,0,1085,6421

0,1000,299,0,0,0,1230,6524

0,206,1000,83,0,0,1904,6628

0,929,299,0,0,0,1243,6731

0,419,906,0,0,0,1683,6834

0,845,392,0,0,0,1316,6937

0,277,1000,83,0,0,1857,7040

39,1000,289,0,0,0,1224,7143

0,703,598,0,0,0,1459,7246

0,561,803,0,0,0,1588,7349

0,206,1000,83,0,0,1904,7452

0,206,1000,83,0,0,1904,7555

0,0,1000,533,0,0,2347,7658

0,0,1000,350,0,0,2259,7761

0,0,598,1000,0,0,2625,7864

0,0,897,708,0,0,2441,7967

0,0,186,1000,74,0,2911,8070

0,0,598,991,0,0,2623,8173

0,0,84,1000,173,0,3070,8276

0,0,289,1000,74,0,2842,8380

0,0,84,1000,256,0,3128,8483

0,0,186,1000,74,0,2911,8586

0,0,84,716,438,0,3285,8689

0,0,84,1000,74,0,2991,8792

0,0,84,808,347,0,3212,8895

0,0,196,1000,74,0,2903,8998

0,0,84,900,256,0,3138,9101

0,0,196,1000,0,0,2836,9204

0,0,84,900,256,0,3138,9307

0,0,186,1000,74,0,2911,9410

0,0,84,533,801,50,3505,9513

0,0,84,441,983,50,3596,9617

0,0,84,1000,256,0,3128,9720

0,0,0,166,1000,50,3857,9823

0,0,0,166,1000,50,3857,9926

0,0,84,616,611,50,3401,10029

0,0,0,83,1000,56,3976,10132

0,0,0,258,1000,50,3794,10235

0,0,84,1000,165,0,3064,10338

0,0,0,350,1000,50,3740,10441

0,0,84,716,438,0,3285,10544

0,0,0,166,1000,50,3857,10647

0,0,0,533,710,0,3571,10750

594,774,1000,1000,1000,553,2548,10854

1000,1000,859,583,495,101,1721,10958
