Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

0,111,1000,63,0,0,1959,4322

0,0,909,375,0,0,2292,4425

0,760,370,0,0,0,1327,4528

0,696,447,0,0,0,1391,4631

0,345,678,70,0,0,1748,4734

492,404,0,0,0,0,450,4838

159,819,69,0,0,0,914,4941

708,0,0,0,0,0,0,5044

371,0,0,0,0,0,0,5147

1000,0,0,0,0,0,0,5250

1000,0,0,0,0,0,0,5353

1000,0,0,0,0,0,0,5456

1000,0,0,0,0,0,0,5559

1000,0,0,0,0,0,0,5662

1000,0,0,0,0,0,0,5765

1000,0,0,0,0,0,0,5868

1000,0,0,0,0,0,0,5971

1000,0,0,0,0,0,0,6075

1000,0,0,0,0,0,0,6178

1000,0,0,0,0,0,0,6281

1000,58,0,0,0,0,54,6384

1000,0,0,0,0,0,0,6487

1000,58,0,0,0,0,54,6590

666,228,0,0,0,0,255,6693

34,53,1000,219,0,47,2130,6796

0,53,1000,141,0,0,2073,6899

0,0,1000,219,0,0,2179,7002

0,824,293,0,0,0,1262,7105

0,696,370,0,0,0,1347,7208

0,941,223,0,0,0,1191,7312

0,638,370,0,0,0,1367,7415

242,521,0,0,0,0,682,7518

159,696,69,0,0,0,902,7621

1000,0,0,0,0,0,0,7724

1000,0,0,0,0,0,0,7827

1000,0,0,0,0,0,0,7930

1000,0,0,0,0,0,0,8033

1000,0,0,0,0,0,0,8136

1000,0,0,0,0,0,0,8239

1000,0,0,0,0,0,0,8342

833,117,0,0,0,0,123,8445

162,638,0,0,0,0,797,8549

0,170,909,70,0,0,1912,8652

0,521,447,0,0,0,1461,8755

0,170,909,70,0,0,1912,8858

37,1000,146,0,0,0,1127,8961

0,824,293,0,0,0,1262,9064

37,1000,146,0,0,0,1127,9167

37,824,216,0,0,0,1207,9270

34,457,517,70,0,0,1629,9373

37,1000,69,0,0,0,1064,9476

37,882,223,0,0,0,1201,9579

37,1000,146,0,0,0,1127,9682

0,398,594,0,0,0,1598,9786

37,1000,69,0,0,0,1064,9889

0,882,223,0,0,0,1201,9992

0,765,223,0,0,0,1225,10095

0,53,1000,141,0,0,2073,10198

0,58,1000,63,0,0,2004,10301

0,0,594,758,0,0,2560,10404

0,0,594,758,0,0,2560,10507

0,0,146,1000,69,0,2936,10610

0,0,146,1000,69,0,2936,10713

0,0,216,1000,0,0,2822,10816

0,0,62,446,653,47,3509,10919

0,0,62,765,238,0,3165,11023

0,0,0,219,1000,47,3820,11126

0,0,62,375,661,0,3545,11229

0,0,0,70,1000,53,3984,11332

0,0,0,141,1000,47,3876,11435

0,0,0,141,1000,47,3876,11538

0,0,62,446,569,0,3470,11641

0,0,0,70,1000,53,3984,11744

0,0,0,70,1000,53,3984,11847

0,0,62,531,492,0,3396,11950

0,0,0,70,1000,106,4030,12053

0,0,0,141,1000,47,3876,12156

0,0,0,70,1000,106,4030,12260

0,0,0,70,1000,53,3984,12363

0,0,62,524,569,0,3438,12466

0,0,0,70,1000,53,3984,12569

0,0,0,141,1000,47,3876,12672

0,0,0,141,1000,47,3876,12775

0,0,62,453,661,0,3509,12878

0,0,0,70,1000,53,3984,12981

0,0,0,141,1000,47,3876,13084

0,0,0,297,1000,47,3771,13187

1000,1000,1000,1000,1000,1000,2500,13290

1000,1000,1000,1000,1000,1000,2500,13394

1000,1000,1000,1000,1000,1000,2500,13499

1000,1000,1000,1000,1000,1000,2500,13603

1000,1000,1000,1000,1000,1000,2500,13707

1000,1000,1000,1000,1000,1000,2500,13811

1000,1000,1000,1000,1000,1000,2500,13915

1000,1000,1000,1000,1000,1000,2500,14019

1000,1000,1000,1000,1000,1000,2500,14123

1000,1000,1000,1000,1000,1000,2500,14227

1000,1000,1000,1000,1000,1000,2500,14331

1000,1000,1000,1000,1000,1000,2500,14436

1000,1000,1000,1000,1000,1000,2500,14540

1000,1000,1000,1000,1000,1000,2500,14644

1000,1000,1000,1000,1000,1000,2500,14748

1000,1000,1000,1000,1000,1000,2500,14852

1000,1000,1000,1000,1000,1000,2500,14956
