Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

33,177,1000,84,0,0,1926,4121

0,0,928,445,0,0,2324,4224

0,0,457,907,0,0,2664,4327

0,114,1000,168,0,0,2042,4430

30,51,1000,260,0,42,2159,4533

30,0,371,991,68,42,2788,4636

30,51,1000,260,0,42,2159,4739

30,51,1000,352,0,42,2214,4842

30,0,450,899,0,42,2666,4945

30,114,1000,168,0,0,2042,5048

30,51,1000,260,0,42,2159,5151

30,0,607,621,0,42,2505,5254

30,51,1000,260,0,42,2159,5357

30,51,921,436,0,42,2273,5460

30,0,300,1000,68,42,2830,5564

30,51,1000,260,0,42,2159,5667

0,0,850,445,0,0,2343,5770

0,0,607,714,0,0,2540,5873

0,0,928,352,0,0,2275,5976

0,0,607,815,0,0,2573,6079

0,0,928,445,0,0,2324,6182

0,0,607,714,0,0,2540,6285

30,0,685,621,0,0,2475,6388

30,0,450,991,68,42,2746,6491

30,51,1000,260,0,42,2159,6594

30,51,764,529,0,42,2355,6697

30,0,221,1000,68,42,2881,6801

30,51,921,436,0,42,2273,6904

30,0,450,991,68,42,2746,7007

30,51,1000,260,0,42,2159,7110

0,0,457,1000,0,48,2686,7213

30,0,607,714,0,42,2540,7316

0,0,378,1000,0,0,2725,7419

0,0,535,907,0,0,2628,7522

0,0,928,352,0,0,2275,7625

30,0,300,1000,68,42,2830,7728

30,0,528,806,0,42,2604,7831

30,51,842,436,0,42,2289,7934

30,0,221,1000,68,42,2881,8038

0,0,378,1000,0,0,2725,8141

30,51,1000,352,0,0,2214,8244

30,0,221,1000,68,42,2881,8347

30,0,300,1000,68,42,2830,8450

30,0,928,445,0,0,2324,8553

26,0,221,1000,145,37,2944,8656

0,0,300,1000,68,42,2830,8759

0,51,1000,352,0,0,2214,8862

0,0,300,1000,68,42,2830,8965

30,0,450,991,68,42,2746,9068

30,51,1000,260,0,42,2159,9171

30,0,300,1000,68,42,2830,9275

30,51,685,714,0,42,2457,9378

30,0,528,899,68,42,2692,9481

30,0,764,621,0,0,2448,9584

500,851,1000,1000,1000,1000,2775,9687

1000,1000,1000,1000,1000,1000,2500,9791

1000,1000,1000,1000,1000,1000,2500,9895

1000,1000,1000,1000,1000,1000,2500,10000

1000,1000,1000,1000,1000,1000,2500,10104

1000,1000,1000,1000,1000,1000,2500,10208

1000,1000,1000,1000,1000,1000,2500,10312

1000,1000,1000,1000,1000,1000,2500,10416
