Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

0,206,921,82,0,0,1897,3304

0,0,849,438,0,0,2340,3407

39,703,418,0,0,0,1372,3510

39,703,418,0,0,0,1372,3613

0,135,1000,165,0,0,2023,3716

39,1000,209,0,0,0,1172,3819

39,929,274,0,0,0,1227,3922

36,277,849,82,0,0,1838,4026

79,1000,65,0,0,0,987,4129

36,1000,130,0,0,51,1282,4232

36,483,555,82,0,51,1788,4335

115,1000,65,0,0,58,1147,4438

76,1000,65,0,0,51,1161,4541

36,1000,202,0,0,51,1324,4644

36,483,555,74,0,51,1779,4747

36,412,627,74,0,51,1841,4850

36,135,1000,165,0,51,2135,4953

39,845,274,0,0,0,1244,5057

36,341,699,82,0,0,1769,5160

39,1000,209,0,0,0,1172,5264

36,483,555,82,0,0,1641,5367

0,64,921,347,0,0,2212,5470

0,206,921,82,0,0,1897,5573

0,64,1000,347,0,0,2200,5676

0,206,849,82,0,0,1890,5779

0,64,1000,256,0,0,2145,5882

0,70,1000,256,0,0,2140,5985

0,0,274,1000,74,51,2929,6088

36,0,555,702,0,51,2653,6191

32,0,124,1000,256,45,3095,6294

36,0,274,1000,74,51,2929,6398

36,64,1000,256,0,51,2251,6502

36,0,483,793,0,51,2712,6605

0,70,1000,173,0,0,2082,6708

0,0,705,528,0,0,2428,6811

0,64,1000,165,0,0,2082,6914

0,0,627,702,0,0,2528,7017

0,64,1000,256,0,0,2145,7120

0,0,346,1000,0,0,2742,7223

0,0,633,619,0,0,2494,7326

0,0,130,1000,165,51,3101,7429

0,0,130,1000,74,0,2953,7532

0,0,849,347,0,0,2290,7635

0,0,346,983,0,0,2739,7739

36,0,777,438,0,0,2360,7842

36,0,274,1000,74,51,2929,7945

36,0,555,702,0,51,2653,8048

36,0,130,1000,256,51,3158,8151

36,0,202,1000,74,51,2980,8255

36,64,849,347,0,51,2332,8358

36,0,202,1000,165,51,3045,8461

36,0,274,1000,74,51,2929,8565

36,64,843,429,0,51,2373,8668

36,0,130,1000,338,51,3204,8771

36,0,130,1000,165,51,3101,8875

36,0,627,702,0,51,2619,8979

0,0,58,793,520,51,3396,9082

0,0,130,1000,256,51,3158,9185

36,0,627,702,0,51,2619,9288

0,0,58,801,438,51,3357,9391

36,0,130,1000,256,51,3158,9494

39,0,777,438,0,0,2360,9598

32,0,124,1000,157,45,3025,9702

36,0,339,1000,74,51,2888,9806

36,135,1000,165,0,0,2023,9909

36,0,555,793,0,0,2588,10012

221,393,1000,586,157,181,2239,10115

1000,1000,1000,1000,1000,1000,2500,10219

1000,1000,1000,1000,1000,961,2483,10323

1000,1000,1000,1000,1000,961,2483,10428

1000,1000,1000,1000,1000,961,2483,10532

1000,1000,1000,1000,1000,961,2483,10636

1000,1000,1000,1000,1000,961,2483,10740
