Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

0,161,1000,153,0,0,1993,3670

27,746,621,76,0,45,1535,3773

176,1000,84,0,0,0,926,3876

928,253,0,0,0,51,412,3979

1000,169,0,0,0,0,144,4082

1000,169,0,0,0,0,144,4185

1000,169,0,0,0,0,144,4288

1000,169,0,0,0,0,144,4391

1000,169,0,0,0,0,144,4495

1000,169,0,0,0,0,144,4598

1000,169,0,0,0,0,144,4701

1000,169,0,0,0,0,144,4804

1000,169,0,0,0,0,144,4907

1000,169,0,0,0,0,144,5010

1000,169,0,0,0,0,144,5113

1000,169,0,0,0,0,144,5216

1000,169,0,0,0,0,144,5319

1000,169,0,0,0,0,144,5422

1000,169,0,0,0,0,144,5525

1000,169,0,0,0,0,144,5628

1000,169,0,0,0,0,144,5732

1000,169,0,0,0,0,144,5835

1000,169,0,0,0,0,144,5938

1000,169,0,0,0,0,144,6041

1000,169,84,0,0,0,268,6144

1000,161,84,76,0,45,421,6247

1000,169,84,0,0,0,268,6350

1000,169,84,0,0,0,268,6453

1000,169,84,0,0,0,268,6556

1000,169,84,0,0,0,268,6659

1000,169,84,0,0,0,268,6762

630,330,0,0,0,0,343,6865

94,146,605,892,219,160,2697,6968

27,0,75,569,560,45,3402,7072

0,0,168,1000,68,0,2919,7175

0,0,1000,407,0,0,2289,7278

30,661,714,76,0,0,1596,7382

67,1000,84,0,0,0,1014,7485

138,1000,84,0,0,0,955,7588

213,669,84,0,0,0,866,7691

250,584,84,0,0,0,819,7794

288,584,84,0,0,0,786,7897

250,584,0,0,0,0,700,8000

138,923,84,0,0,51,1125,8103

64,1000,84,0,0,51,1186,8207

27,1000,168,0,0,45,1143,8310

27,576,714,76,0,45,1633,8413

27,161,1000,153,0,0,1993,8516

0,0,630,830,0,0,2568,8619

0,0,75,830,401,45,3249,8722

27,0,75,69,901,234,4011,8825

0,0,0,0,75,1000,4930,8928

0,0,0,0,75,1000,4930,9031

0,0,0,0,75,1000,4930,9134

0,0,0,0,75,1000,4930,9237

0,0,0,0,75,1000,4930,9340

0,0,0,0,75,1000,4930,9444

0,0,0,0,75,1000,4930,9547

0,0,0,0,75,1000,4930,9650

0,0,0,0,75,1000,4930,9753

